#CREATED JANUARY 2020, LAUREN MEE, UNIVERSITY OF LIVERPOOL
#LIST OF NCBI TRANSCRIPTS ASSOCIATED WITH IMMUNITY IN APIS MELLIFERA (AmelHAv3.1, GCF_003254395.2) WITH GENE AND PROTEIN IDS, AND "CLASS" (CANON/NONCANON)
#CANONICAL IMMUNITY DETERMINED FROM EVANS ET AL 2006, NCBI BIOSYSTEMS PATHWAY RESOURCES AND USE OF OTHODB
#CANDIDATE NON-CANONICAL IMMUNITY BASED UPON THE COMBINED WORKS OF ALAUX ET AL 2011, RICHARD ET AL 2012 AND DOUBLET ET AL 2017.
TranscriptID	GeneID	ProteinID	Class
XM_006559613.2	LOC414009	XP_006559676.1	NonCanon
XM_006559647.1	LOC102655603	XP_006559710.1	NonCanon
XM_006559656.3	LOC412200	XP_006559719.1	NonCanon
XM_006559699.3	LOC552629	XP_006559762.2	NonCanon
XM_006559759.3	LOC413987	XP_006559822.1	NonCanon
XM_006559767.3	LOC551948	XP_006559830.1	NonCanon
XM_006559776.3	LOC724742	XP_006559839.1	NonCanon
XM_006559781.3	LOC724891	XP_006559844.1	NonCanon
XM_006559794.3	LOC551982	XP_006559857.1	NonCanon
XM_006559796.3	LOC413383	XP_006559859.1	NonCanon
XM_006559811.3	LOC551437	XP_006559874.1	Canon
XM_006559837.3	LOC413065	XP_006559900.1	NonCanon
XM_006559839.3	LOC551574	XP_006559902.2	NonCanon
XM_006559864.3	LOC412578	XP_006559927.1	NonCanon
XM_006559899.1	LOC724745	XP_006559962.1	NonCanon
XM_006559916.3	LOC411347	XP_006559979.1	NonCanon
XM_006559944.3	LOC100577797	XP_006560007.3	NonCanon
XM_006559950.3	LOC551194	XP_006560013.1	NonCanon
XM_006559956.3	LOC550659	XP_006560019.1	NonCanon
XM_006559984.3	LOC408303	XP_006560047.1	NonCanon
XM_006559986.3	LOC410241	XP_006560049.1	NonCanon
XM_006560003.3	LOC551931	XP_006560066.1	NonCanon
XM_006560028.3	LOC725512	XP_006560091.1	Canon
XM_006560041.3	LOC102654621	XP_006560104.2	NonCanon
XM_006560099.3	LOC551847	XP_006560162.1	NonCanon
XM_006560197.3	LOC410484	XP_006560260.1	NonCanon
XM_006560307.2	LOC408434	XP_006560370.1	NonCanon
XM_006560311.3	LOC552377	XP_006560374.1	NonCanon
XM_006560326.3	LOC410456	XP_006560389.1	NonCanon
XM_006560397.3	LOC410039	XP_006560460.1	NonCanon
XM_006560410.3	LOC408421	XP_006560473.1	NonCanon
XM_006560439.3	LOC413194	XP_006560502.2	Canon
XM_006560471.3	LOC100577174	XP_006560534.1	NonCanon
XM_006560476.3	LOC412851	XP_006560539.1	NonCanon
XM_006560549.3	LOC411048	XP_006560612.2	NonCanon
XM_006560586.3	LOC408817	XP_006560649.2	NonCanon
XM_006560599.3	LOC409316	XP_006560662.2	NonCanon
XM_006560605.3	LOC102655838	XP_006560668.1	NonCanon
XM_006560606.3	LOC102655898	XP_006560669.1	NonCanon
XM_006560607.3	LOC102655942	XP_006560670.1	NonCanon
XM_006560644.3	LOC410630	XP_006560707.1	NonCanon
XM_006560673.3	LOC552745	XP_006560736.1	NonCanon
XM_006560675.3	LOC411730	XP_006560738.1	NonCanon
XM_006560695.3	LOC413032	XP_006560758.1	NonCanon
XM_006560719.2	LOC551009	XP_006560782.1	NonCanon
XM_006560747.3	LOC409023	XP_006560810.1	NonCanon
XM_006560840.3	LOC724704	XP_006560903.1	NonCanon
XM_006560870.3	LOC552278	XP_006560933.1	NonCanon
