Test	AllSol	Habro	Mega	Nova
ImmVRandom	0.019104687306081	0.108548847398278	0.866483747457805	0.118095605749733
CanVRandom	0.0239682950309668	0.01982447365602	0.439283441553774	0.0941732539332189
NonCanVRandom	0.103977127115603	0.408234568076587	1	0.292616917816516
CanVNonCan	0.212611061895259	0.10241415296378	0.41927230787736	0.31139146924161
