Test	AllComplex	AllOrigin	AllOriginEpi	Apis	CorbSoc	CorbSocEpi	Halictid	Meli	Xylo
ImmVRandom	0.580929494520308	0.233316865767202	0.451091194474921	0.51894846630439	0.704731965172084	0.143185329115885	0.545517860419542	0.68931903393274	0.489183441977821
CanVRandom	0.675610610793313	1	0.300159107838736	1	1	1	1	0.505658094021841	0.245349938329146
NonCanVRandom	0.425776401173018	0.344669387343883	0.673954176160634	0.484403631420856	1	0.108189891942351	0.560662153776791	0.481239722047468	0.70556686915918
CanVNonCan	0.343408490754225	1	0.431326013238018	1	1	1	0.867059449452098	0.33076989206038	0.442537180224469
