Gene	Class	Gene_Desc	SocOrigin	count	Function.x	Function.y	Function
LOC409286	Canon	 stress-activated protein kinase JNK 	Meli	1	JNK	Apoptosis	Autophagy
LOC409286	Canon	 stress-activated protein kinase JNK 	Meli	1	JNK	Toll_IMD	Apoptosis
LOC409286	Canon	 stress-activated protein kinase JNK 	Meli	1	JNK	Toll_IMD	Toll_IMD
LOC409286	Canon	 stress-activated protein kinase JNK 	Meli	1	JNK	Toll_IMD	JNK
LOC409286	Canon	 stress-activated protein kinase JNK 	Meli	1	JNK	Toll_IMD	Autophagy
LOC409286	Canon	 stress-activated protein kinase JNK 	Meli	1	JNK	JNK	Apoptosis
LOC409286	Canon	 stress-activated protein kinase JNK 	Meli	1	JNK	JNK	Toll_IMD
LOC409286	Canon	 stress-activated protein kinase JNK 	Meli	1	JNK	JNK	JNK
LOC409286	Canon	 stress-activated protein kinase JNK 	Meli	1	JNK	JNK	Autophagy
LOC409286	Canon	 stress-activated protein kinase JNK 	Meli	1	JNK	Autophagy	Apoptosis
LOC409286	Canon	 stress-activated protein kinase JNK 	Meli	1	JNK	Autophagy	Toll_IMD
LOC409286	Canon	 stress-activated protein kinase JNK 	Meli	1	JNK	Autophagy	JNK
LOC409286	Canon	 stress-activated protein kinase JNK 	Meli	1	JNK	Autophagy	Autophagy
LOC409286	Canon	 stress-activated protein kinase JNK 	Meli	1	Apoptosis	Apoptosis	Apoptosis
LOC409286	Canon	 stress-activated protein kinase JNK 	Meli	1	Apoptosis	Apoptosis	Toll_IMD
LOC409286	Canon	 stress-activated protein kinase JNK 	Meli	1	Apoptosis	Apoptosis	JNK
LOC409286	Canon	 stress-activated protein kinase JNK 	Meli	1	Apoptosis	Apoptosis	Autophagy
LOC409286	Canon	 stress-activated protein kinase JNK 	Meli	1	Apoptosis	Toll_IMD	Apoptosis
LOC409286	Canon	 stress-activated protein kinase JNK 	Meli	1	Apoptosis	Toll_IMD	Toll_IMD
LOC409286	Canon	 stress-activated protein kinase JNK 	Meli	1	Apoptosis	Toll_IMD	JNK
LOC409286	Canon	 stress-activated protein kinase JNK 	Meli	1	Apoptosis	Toll_IMD	Autophagy
LOC409286	Canon	 stress-activated protein kinase JNK 	Meli	1	Apoptosis	JNK	Apoptosis
LOC409286	Canon	 stress-activated protein kinase JNK 	Meli	1	Apoptosis	JNK	Toll_IMD
LOC409286	Canon	 stress-activated protein kinase JNK 	Meli	1	Apoptosis	JNK	JNK
LOC409286	Canon	 stress-activated protein kinase JNK 	Meli	1	Apoptosis	JNK	Autophagy
LOC409286	Canon	 stress-activated protein kinase JNK 	Meli	1	Apoptosis	Autophagy	Apoptosis
LOC409286	Canon	 stress-activated protein kinase JNK 	Meli	1	Apoptosis	Autophagy	Toll_IMD
LOC409286	Canon	 stress-activated protein kinase JNK 	Meli	1	Apoptosis	Autophagy	JNK
LOC409286	Canon	 stress-activated protein kinase JNK 	Meli	1	Apoptosis	Autophagy	Autophagy
LOC409336	Canon	 sialin 	Meli, Nova	2	Lysosome	Lysosome	Lysosome
LOC409529	Canon	 ras-like protein 2 	Meli	1	Autophagy	Autophagy	Autophagy
LOC409791	Canon	 cAMP-dependent protein kinase catalytic subunit 	Meli	1	Autophagy	Autophagy	Autophagy
LOC409920	Canon	 ubiquitin-conjugating enzyme E2 variant 2 	Meli	1	Toll_IMD	Toll_IMD	Toll_IMD
LOC410183	Canon	 1-phosphatidylinositol 3-phosphate 5-kinase 	Apis	1	Phagosome	Phagosome	Phagosome
LOC410575	Canon	 dual specificity mitogen-activated protein kinase kinase 4 	Halictid	1	JNK	JNK	JNK
LOC410732	Canon	 3-phosphoinositide-dependent protein kinase 1 	Halictid, Meli	2	Autophagy	Autophagy	Autophagy
LOC410812	Canon	 ras-like protein 1 	Meli	1	Autophagy	Autophagy	Autophagy
LOC410860	Canon	 battenin 	AllComplex, Meli	2	Lysosome	Lysosome	Lysosome
LOC411115	Canon	 baculoviral IAP repeat-containing protein 6 	Apis, Halictid	2	Apoptosis	Apoptosis	Apoptosis
LOC411639	Canon	 cytoplasmic dynein 2 heavy chain 1 	Meli	1	Phagosome	Phagosome	Phagosome
LOC411892	Canon	 V-type proton ATPase subunit C 	Nova	1	Phagosome	Phagosome	Phagosome
LOC412278	Canon	 tuberin 	Halictid	1	Autophagy	Autophagy	Autophagy
LOC412687	Canon	 beclin 1-associated autophagy-related key regulator 	Habro	1	Autophagy	Autophagy	Autophagy
LOC413119	Canon	 heparan-alpha-glucosaminide N-acetyltransferase 	Meli	1	Lysosome	Lysosome	Lysosome
LOC413126	Canon	 serine/threonine-protein kinase Tao 	Nova	1	JNK	JNK	JNK
LOC413153	Canon	 uncharacterized LOC413153 	Halictid	1	Autophagy	Autophagy	Autophagy
LOC413194	Canon	 myeloid differentiation primary response protein MyD88-A 	Apis, Mega	2	Toll_IMD	Humoral	Humoral
LOC413194	Canon	 myeloid differentiation primary response protein MyD88-A 	Apis, Mega	2	Toll_IMD	Humoral	Toll_IMD
LOC413194	Canon	 myeloid differentiation primary response protein MyD88-A 	Apis, Mega	2	Toll_IMD	Toll_IMD	Humoral
LOC413194	Canon	 myeloid differentiation primary response protein MyD88-A 	Apis, Mega	2	Toll_IMD	Toll_IMD	Toll_IMD
LOC413194	Canon	 myeloid differentiation primary response protein MyD88-A 	Apis, Mega	2	Humoral	Humoral	Humoral
LOC413194	Canon	 myeloid differentiation primary response protein MyD88-A 	Apis, Mega	2	Humoral	Humoral	Toll_IMD
LOC413194	Canon	 myeloid differentiation primary response protein MyD88-A 	Apis, Mega	2	Humoral	Toll_IMD	Humoral
LOC413194	Canon	 myeloid differentiation primary response protein MyD88-A 	Apis, Mega	2	Humoral	Toll_IMD	Toll_IMD
LOC413389	Canon	 dual specificity mitogen-activated protein kinase kinase hemipterous 	Habro	1	Toll_IMD	Toll_IMD	Toll_IMD
LOC413389	Canon	 dual specificity mitogen-activated protein kinase kinase hemipterous 	Habro	1	Toll_IMD	Toll_IMD	JNK
LOC413389	Canon	 dual specificity mitogen-activated protein kinase kinase hemipterous 	Habro	1	Toll_IMD	JNK	Toll_IMD
LOC413389	Canon	 dual specificity mitogen-activated protein kinase kinase hemipterous 	Habro	1	Toll_IMD	JNK	JNK
LOC413389	Canon	 dual specificity mitogen-activated protein kinase kinase hemipterous 	Habro	1	JNK	Toll_IMD	Toll_IMD
LOC413389	Canon	 dual specificity mitogen-activated protein kinase kinase hemipterous 	Habro	1	JNK	Toll_IMD	JNK
LOC413389	Canon	 dual specificity mitogen-activated protein kinase kinase hemipterous 	Habro	1	JNK	JNK	Toll_IMD
LOC413389	Canon	 dual specificity mitogen-activated protein kinase kinase hemipterous 	Habro	1	JNK	JNK	JNK
LOC413411	Canon	 myotubularin-related protein 14 	Meli	1	Autophagy	Autophagy	Autophagy
LOC413430	Canon	 RAC serine/threonine-protein kinase 	Habro	1	Autophagy	Autophagy	Autophagy
LOC413668	Canon	 run domain Beclin-1-interacting and cysteine-rich domain-containing protein 	Meli	1	Autophagy	Autophagy	Autophagy
LOC413782	Canon	 cartilage oligomeric matrix protein 	Xylo	1	Phagosome	Phagosome	Phagosome
LOC550716	Canon	 clathrin heavy chain 	Halictid	1	Lysosome	Lysosome	Lysosome
LOC550869	Canon	 N-acetylglucosamine-6-sulfatase 	Habro	1	Lysosome	Lysosome	Lysosome
LOC551012	Canon	 cation-independent mannose-6-phosphate receptor 	Meli, Xylo	2	Lysosome	Lysosome	Lysosome
LOC551036	Canon	 vacuole membrane protein 1 	Meli	1	Autophagy	Autophagy	Autophagy
