Test	AllComplex	AllOrigin	AllOriginEpi	Apis	CorbSoc	CorbSocEpi	Halictid	Meli	Xylo
ImmVRandom	0.577242275772423	0.245975402459754	0.702729727027297	0.60963903609639	0.497450254974503	0.144785521447855	0.546145385461454	0.654534546545345	0.59004099590041
CanVRandom	1	0.651634836516348	0.305469453054695	1	1	1	1	0.57024297570243	0.41015898410159
NonCanVRandom	0.422857714228577	0.337466253374663	1	0.481351864813519	0.705529447055295	0.110888911108889	0.515448455154485	0.453154684531547	0.846115388461154
CanVNonCan	0.610638936106389	1	1	0.794220577942206	1	1	0.868013198680132	0.388461153884612	0.707529247075293
