Test	AllComplex	AllOrigin	AllOriginEpi	Apis	CorbSoc	CorbSocEpi	Halictid	Meli	Xylo
ImmVRandom	0.312643506443704	0.873112203109471	0.183519974139279	0.273035902199175	0.631734503786465	0.183269151812463	0.462388882072449	0.313622464544027	0.552440899631292
CanVRandom	0.487157242341696	0.734591485180874	0.191393297418275	0.378416336954484	0.517970520409321	0.519814932227068	0.0557148162541729	0.755870015653761	0.15538850095584
NonCanVRandom	0.138491690503543	0.724642778781493	0.351243718337114	0.425153142214229	0.863483898156811	0.181577594717952	0.0757300544211912	0.326831598176584	0.17483509699684
CanVNonCan	0.147228106150545	0.459278193267346	0.409528604801539	0.769951286193024	0.696661990499407	1	0.00853076213265399	0.93115443931974	0.0557291498623034
