GOterm	Canon_input	NonCan_input	Hym_Noncan	Solitary_Imm	Social_Imm	Complex_Imm	Solitary_Random	Social_Random	Complex_Random
GO:0044422	0	0	0	0	0	0	0	0	0
GO:0044424	0	0	0	0	0	0	0	0	0
GO:0044425	0	0	0	0	0	0	0	0	0
GO:0044429	0	0	0	0	0	0	0	0	0
GO:0044444	0	0	0	0	0	0	0	0	0
GO:0044446	0	0	0	0	0	0	0	0	0
GO:0044464	0	0	0	0	0	0	0	0	0
GO:0044703	0	0	0	0	0	0	0	0	0
GO:0045935	0	0	0	0	0	0	0	0	0
GO:0045937	0	0	0	0	0	0	0	0	0
GO:0045981	0	0	0	0	0	0	0	0	0
GO:0046716	0	0	0	0	0	1	0	0	0
GO:0046902	0	0	0	0	0	0	0	0	0
GO:0046907	0	0	0	0	0	0	0	0	0
GO:0048468	0	0	0	0	0	0	0	0	0
GO:0048477	1	0	0	0	0	0	0	0	0
GO:0048489	0	0	0	0	0	0	0	0	0
GO:0048518	0	0	0	0	0	1	0	0	0
GO:0048519	0	0	0	0	0	0	0	1	0
GO:0048522	0	0	0	0	0	1	0	0	0
GO:0048523	0	0	0	0	0	0	0	0	0
GO:0048589	0	0	0	0	1	0	0	0	0
GO:0048609	0	0	0	0	0	0	0	0	0
GO:0048731	0	0	0	0	0	0	0	0	1
GO:0048856	0	0	0	0	0	0	0	1	0
GO:0048869	0	0	0	0	0	0	1	1	1
GO:0048878	0	0	0	0	0	0	0	0	0
GO:0050789	0	0	0	0	0	0	0	0	0
GO:0050794	0	0	0	0	0	0	0	0	0
GO:0050801	0	0	0	0	0	0	0	0	0
GO:0050808	0	0	0	0	0	0	0	0	0
GO:0050896	0	0	0	0	0	0	0	0	0
GO:0051124	0	0	0	0	0	0	0	0	0
GO:0051171	0	0	0	0	0	0	0	0	0
GO:0051173	0	0	0	0	0	0	0	0	0
GO:0051174	0	0	0	0	0	0	0	0	0
GO:0051179	0	0	0	0	0	0	0	0	0
GO:0051234	0	0	0	0	0	0	0	0	0
GO:0051480	0	0	0	0	0	0	0	0	0
GO:0051503	0	0	0	0	0	0	0	0	0
GO:0051560	0	0	0	0	0	0	0	0	0
GO:0051640	0	0	0	0	0	0	0	0	0
GO:0051641	0	0	0	0	0	0	0	0	0
GO:0051648	0	0	0	0	0	0	0	0	0
GO:0051649	0	0	0	0	0	0	0	0	0
GO:0051650	0	0	0	0	0	0	0	0	0
GO:0051656	0	0	0	0	0	0	0	0	0
GO:0051704	1	0	0	0	0	0	0	0	0
GO:0051716	0	0	0	0	0	0	0	0	0
GO:0051881	0	0	0	0	0	0	0	0	0
GO:0051900	0	0	0	0	0	0	0	0	0
GO:0055065	0	0	0	0	0	0	0	0	0
GO:0055074	0	0	0	0	0	0	0	0	0
GO:0055080	0	0	0	0	0	0	0	0	0
GO:0055082	0	0	0	0	0	0	0	0	0
GO:0055085	0	0	0	0	0	0	0	0	0
GO:0060249	0	0	0	0	0	1	0	0	0
GO:0061024	0	0	0	0	0	0	0	0	0
GO:0062012	0	0	0	0	0	0	0	0	0
GO:0062013	0	0	0	0	0	0	0	0	0
GO:0065007	0	0	0	0	0	0	0	0	1
GO:0065008	0	0	0	0	0	1	0	0	0
