TermID, Name, Frequency, PlotX, PlotY, PlotSize, Value, Uniqueness, Dispensability, Representative, Eliminated
"GO:0098975", "postsynapse of neuromuscular junction", 0.001, -5.132, 0.014, 2.134, -1.854, 0.645, 0.000, -1, False
"GO:0098794", "postsynapse", 0.202, null, null, 4.577, -1.432, 0.645, 0.591, 98975, True
"GO:0005665", "RNA polymerase II, core complex", 0.038, 4.616, 2.245, 3.852, -1.854, 0.858, 0.000, -1, False
"GO:0000139", "Golgi membrane", 0.723, 4.604, -2.268, 5.131, -1.319, 0.858, 0.222, -1, False
